396,𡕍,10
397,幸,10
398,奢,10
399,亢,10
400,夲,10
401,夰,10
402,亣,10
403,夫,10
404,立,10
405,竝,10
406,囟,10
407,恖,10
408,心,10
409,惢,10
410,水,11
411,沝,11
412,𩕨,11
413,𡿨,11
414,巜,11
415,巛,11
416,泉,11
417,灥,11
418,永,11
419,𠂢,11
420,谷,11
421,仌,11
422,雨,11
423,雲,11
424,魚,11
425,𩺰,11
426,燕,11
427,龍,11
428,飛,11
429,非,11
430,卂,11
431,𠃉,12
432,不,12
433,至,12
434,㢴,12
435,鹵,12
436,鹽,12
437,戶,12
438,門,12
439,耳,12
440,𦣞,12
441,手,12
442,𠦬,12
443,女,12
444,毋,12
445,民,12
446,丿,12
447,𠂆,12
448,乁,12
449,氏,12
450,氐,12
451,戈,12
452,戉,12
453,我,12
454,亅,12
455,珡,12
456,乚,12
457,兦,12
458,匸,12
459,匚,12
460,曲,12
461,甾,12
462,瓦,12
463,弓,12
464,弜,12
465,弦,12
466,系,12
467,糸,13
468,素,13
469,絲,13
470,率,13
471,虫,13
472,䖵,13
473,蟲,13
474,風,13
475,它,13
476,龜,13
477,黽,13
478,卵,13
479,二,13
480,土,13
481,垚,13
482,𡎸,13
483,里,13
484,田,13
485,畕,13
486,黃,13
487,男,13
488,力,13
489,劦,13
490,金,14
491,幵,14
492,勺,14
493,几,14
494,且,14
495,斤,14
496,斗,14
497,矛,14
498,車,14
499,𠂤,14
500,𨸏,14
501,𨺅,14
502,厽,14
503,四,14
504,宁,14
505,叕,14
506,亞,14
507,𠄡,14
508,六,14
509,七,14
510,九,14
511,禸,14
512,嘼,14
513,甲,14
514,乙,14
515,丙,14
516,丁,14
517,戊,14
518,己,14
519,巴,14
520,庚,14
521,辛,14
522,辡,14
523,壬,14
524,癸,14
525,子,14
526,了,14
527,孨,14
528,𠫓,14
529,丑,14
530,寅,14
531,卯,14
532,辰,14
533,巳,14
534,午,14
535,未,14
536,申,14
537,酉,14
538,酋,14
539,戌,14
540,亥,14
